Timestep;Food;Prey1;Prey2;Predators
0;46;14;10;3
1;46;11;10;3
2;46;8;10;3
3;47;5;10;3
4;47;2;10;3
5;47;0;9;3
6;47;0;6;3
7;47;0;3;3
8;47;0;0;3
9;47;0;0;3
10;48;0;0;3
11;48;0;0;3
12;48;0;0;3
13;48;0;0;3
14;48;0;0;3
15;48;0;0;3
16;48;0;0;3
17;48;0;0;3
18;48;0;0;3
19;48;0;0;3
20;48;0;0;3
21;48;0;0;3
22;48;0;0;3
23;48;0;0;3
24;48;0;0;3
25;48;0;0;3
26;48;0;0;3
27;48;0;0;3
28;48;0;0;3
29;48;0;0;3
30;49;0;0;3
31;49;0;0;3
32;49;0;0;3
33;49;0;0;3
34;50;0;0;3
35;50;0;0;3
36;51;0;0;3
37;52;0;0;3
38;52;0;0;3
39;52;0;0;3
40;52;0;0;3
41;54;0;0;3
42;54;0;0;3
43;54;0;0;3
44;54;0;0;3
45;54;0;0;3
46;54;0;0;3
47;54;0;0;3
48;54;0;0;3
49;55;0;0;3
50;56;0;0;3
51;56;0;0;3
52;56;0;0;3
53;56;0;0;3
54;56;0;0;3
55;56;0;0;3
56;56;0;0;3
57;56;0;0;3
58;56;0;0;3
59;57;0;0;3
60;58;0;0;3
61;58;0;0;3
62;58;0;0;3
63;58;0;0;3
64;58;0;0;3
65;58;0;0;3
66;59;0;0;3
67;59;0;0;3
68;60;0;0;3
69;60;0;0;3
70;60;0;0;3
71;60;0;0;3
72;60;0;0;3
73;62;0;0;3
74;62;0;0;3
75;62;0;0;3
76;63;0;0;3
77;64;0;0;3
78;65;0;0;3
79;65;0;0;3
80;65;0;0;3
81;65;0;0;3
82;65;0;0;3
83;65;0;0;3
84;65;0;0;3
85;65;0;0;3
86;66;0;0;3
87;66;0;0;3
88;66;0;0;3
89;66;0;0;3
90;68;0;0;3
91;69;0;0;3
92;69;0;0;3
93;69;0;0;3
94;69;0;0;3
95;69;0;0;3
96;69;0;0;3
97;70;0;0;3
98;71;0;0;3
99;71;0;0;3
100;71;0;0;3
101;71;0;0;3
102;72;0;0;3
103;72;0;0;3
104;72;0;0;3
105;72;0;0;3
106;72;0;0;3
107;72;0;0;3
108;72;0;0;3
109;73;0;0;3
110;73;0;0;3
111;73;0;0;3
112;73;0;0;3
113;74;0;0;3
114;74;0;0;3
115;74;0;0;3
116;74;0;0;3
117;74;0;0;3
118;74;0;0;3
119;75;0;0;3
120;75;0;0;3
121;75;0;0;3
122;75;0;0;3
123;75;0;0;3
124;75;0;0;3
125;76;0;0;3
126;76;0;0;3
127;77;0;0;3
128;77;0;0;3
129;77;0;0;3
130;77;0;0;3
131;78;0;0;3
132;80;0;0;3
133;80;0;0;3
134;80;0;0;3
135;80;0;0;3
136;80;0;0;3
137;80;0;0;3
138;80;0;0;3
139;80;0;0;3
140;81;0;0;3
141;81;0;0;3
142;81;0;0;3
143;81;0;0;3
144;81;0;0;3
145;81;0;0;3
146;81;0;0;3
147;83;0;0;3
148;83;0;0;3
149;83;0;0;3
150;83;0;0;3
151;84;0;0;3
152;84;0;0;3
153;85;0;0;3
154;85;0;0;3
155;85;0;0;3
156;85;0;0;3
157;85;0;0;3
158;85;0;0;3
159;85;0;0;3
160;86;0;0;3
161;87;0;0;3
162;88;0;0;3
163;88;0;0;3
164;88;0;0;3
165;88;0;0;3
166;88;0;0;3
167;89;0;0;3
168;89;0;0;3
169;89;0;0;3
170;89;0;0;3
171;89;0;0;3
172;90;0;0;3
173;91;0;0;3
174;91;0;0;3
175;92;0;0;3
176;92;0;0;3
177;92;0;0;3
178;92;0;0;3
179;92;0;0;3
180;92;0;0;3
181;93;0;0;3
182;93;0;0;3
183;94;0;0;3
184;94;0;0;3
185;94;0;0;3
186;96;0;0;3
187;97;0;0;3
188;97;0;0;3
189;97;0;0;3
190;99;0;0;3
191;100;0;0;3
192;101;0;0;3
193;102;0;0;3
194;104;0;0;3
195;104;0;0;3
196;104;0;0;3
197;104;0;0;3
198;104;0;0;3
199;105;0;0;3
200;105;0;0;3
201;106;0;0;3
202;107;0;0;3
