Timestep;Food;Prey1;Prey2;Predators
0;45;14;49;3
1;46;15;56;3
2;46;16;57;3
3;46;17;62;3
4;46;18;67;3
5;46;18;73;3
6;47;19;75;3
7;47;19;78;3
8;47;19;85;3
9;47;19;90;3
10;47;19;97;3
11;47;19;103;3
12;47;19;112;3
13;47;20;120;3
14;47;22;126;3
15;47;22;135;3
16;47;23;141;3
17;48;24;147;3
18;48;26;154;3
19;48;27;162;3
20;48;26;173;3
21;48;28;181;3
22;48;30;195;3
23;48;30;205;3
24;48;32;213;3
25;48;34;223;3
26;48;36;233;3
27;48;36;246;3
28;50;36;258;3
29;50;39;273;3
30;52;44;286;3
31;52;43;294;3
32;52;44;303;3
33;52;46;311;3
34;52;50;326;3
35;52;52;338;3
36;52;60;349;3
37;53;64;359;4
38;54;72;379;4
39;54;79;393;4
40;54;87;404;4
41;54;93;418;4
42;54;102;425;4
43;54;112;442;4
44;54;122;457;4
45;56;126;473;4
46;56;135;484;6
47;56;144;502;6
48;56;160;508;6
49;56;172;520;6
50;57;184;527;6
51;57;199;530;6
52;57;209;541;6
53;57;227;548;7
54;58;238;559;7
55;60;257;566;7
56;61;270;573;7
57;61;285;584;7
58;61;304;595;8
59;61;324;605;8
60;61;348;608;8
61;62;364;615;9
62;62;387;623;9
63;62;410;620;11
64;62;426;633;12
65;62;443;626;12
66;63;464;623;13
67;63;475;625;14
68;64;493;617;15
69;64;515;615;15
70;64;535;613;16
71;64;557;612;16
72;64;578;610;17
73;64;588;608;19
74;65;612;608;19
75;65;630;603;20
76;65;641;603;21
77;65;654;599;21
78;65;674;598;23
79;66;688;597;23
80;66;709;592;25
81;66;728;582;25
82;67;744;582;27
83;67;766;576;28
84;67;779;567;31
85;67;786;561;34
86;69;798;552;36
87;69;813;540;38
88;69;825;533;40
89;70;830;525;41
90;70;829;515;41
91;70;833;505;41
92;71;831;498;43
93;71;839;487;46
94;71;851;472;50
95;72;851;459;54
96;72;849;445;55
97;73;848;434;61
98;73;834;429;66
99;73;822;422;69
100;73;811;410;70
101;73;795;398;71
102;73;784;377;74
103;73;774;363;77
104;73;749;351;81
105;73;732;337;86
106;73;711;329;89
107;74;688;310;91
108;74;670;294;96
109;76;646;273;97
110;77;618;257;98
111;77;597;242;103
112;77;566;222;110
113;77;529;206;114
114;77;497;189;116
115;77;472;175;120
116;77;445;160;124
117;77;415;149;127
118;78;382;140;130
119;78;364;127;130
120;80;349;122;135
121;80;318;111;138
122;80;289;99;143
123;81;267;84;148
124;81;237;72;154
125;81;209;61;156
126;81;182;52;157
127;83;161;41;162
128;85;139;35;162
129;85;115;28;166
130;85;95;24;167
131;85;80;21;168
132;85;68;14;169
133;86;58;8;170
134;86;50;8;172
135;86;46;8;172
136;86;46;7;173
137;86;40;7;174
138;86;38;5;175
139;87;34;3;175
140;87;30;3;175
141;87;26;0;177
142;87;22;0;177
143;88;18;0;177
144;88;15;0;177
145;88;14;0;177
146;90;13;0;177
147;90;9;0;177
148;91;7;0;177
149;92;5;0;177
150;92;5;0;177
151;93;4;0;178
152;94;3;0;178
153;95;2;0;178
154;96;1;0;178
155;97;0;0;178
156;97;0;0;178
157;97;0;0;178
158;97;0;0;178
159;98;0;0;178
160;99;0;0;178
161;100;0;0;178
162;100;0;0;178
163;100;0;0;178
164;100;0;0;178
165;101;0;0;178
166;101;0;0;178
167;101;0;0;178
168;101;0;0;178
169;101;0;0;178
170;104;0;0;178
171;104;0;0;178
172;105;0;0;178
173;105;0;0;178
174;107;0;0;178
175;107;0;0;178
176;108;0;0;178
177;108;0;0;178
178;108;0;0;178
179;108;0;0;178
180;109;0;0;178
181;110;0;0;178
182;112;0;0;178
183;113;0;0;178
184;113;0;0;178
185;114;0;0;178
186;115;0;0;178
187;115;0;0;178
188;115;0;0;178
189;115;0;0;178
190;116;0;0;178
191;116;0;0;178
192;116;0;0;178
193;116;0;0;178
194;116;0;0;178
195;116;0;0;178
196;117;0;0;178
197;117;0;0;178
198;118;0;0;178
199;120;0;0;178
200;120;0;0;178
201;120;0;0;178
202;120;0;0;178
203;120;0;0;178
204;120;0;0;178
205;120;0;0;178
206;120;0;0;178
207;120;0;0;178
208;120;0;0;178
209;120;0;0;178
210;120;0;0;178
211;120;0;0;178
212;120;0;0;178
213;120;0;0;178
214;120;0;0;178
215;120;0;0;178
216;120;0;0;178
217;120;0;0;178
218;120;0;0;178
219;120;0;0;178
220;120;0;0;178
221;120;0;0;178
222;120;0;0;178
223;120;0;0;178
224;120;0;0;178
225;120;0;0;178
226;120;0;0;178
227;120;0;0;178
228;120;0;0;178
229;120;0;0;178
230;120;0;0;178
231;120;0;0;178
232;120;0;0;178
233;120;0;0;178
234;120;0;0;177
235;120;0;0;177
