Timestep;Food;Prey1;Prey2;Predators
0;46;18;10;3
1;46;20;11;3
2;46;21;11;3
3;47;21;12;3
4;48;20;12;3
5;48;20;13;3
6;48;23;14;3
7;49;25;16;3
8;49;25;17;3
9;49;25;17;3
10;49;25;19;3
11;50;26;19;3
12;50;26;22;3
13;50;26;22;3
14;50;26;22;3
15;51;26;23;3
16;51;26;24;3
17;51;26;24;3
18;51;26;25;3
19;52;27;26;3
20;52;29;26;3
21;53;29;27;3
22;53;31;28;3
23;53;31;28;3
24;54;31;29;3
25;55;32;30;3
26;55;31;31;3
27;55;32;31;3
28;56;33;33;3
29;56;33;34;3
30;56;35;36;3
31;56;36;37;3
32;56;39;39;3
33;56;41;39;3
34;56;41;40;3
35;56;44;41;3
36;56;45;42;3
37;56;50;44;3
38;57;51;45;3
39;57;52;47;3
40;57;53;48;3
41;58;56;48;3
42;59;57;49;3
43;59;57;49;3
44;59;56;54;3
45;59;56;56;3
46;59;57;57;3
47;59;58;57;3
48;59;60;59;3
49;60;61;59;3
50;60;65;62;3
51;60;68;64;3
52;60;67;64;3
53;60;69;64;3
54;60;69;67;3
55;60;71;67;3
56;61;71;68;3
57;61;72;70;3
58;61;74;71;3
59;62;75;70;3
60;62;75;72;3
61;62;76;79;3
62;62;76;82;3
63;62;79;82;3
64;62;80;84;3
65;62;82;86;3
66;62;85;86;3
67;63;91;86;3
68;63;94;90;3
69;63;99;93;3
70;64;103;96;3
71;65;106;96;3
72;65;111;100;3
73;66;113;103;3
74;67;117;106;3
75;67;121;111;3
76;67;125;115;3
77;67;130;116;3
78;67;135;119;3
79;67;141;121;3
80;67;146;126;3
81;67;156;127;3
82;68;162;132;3
83;68;164;137;3
84;68;169;141;3
85;68;177;147;3
86;68;184;149;3
87;70;191;151;3
88;70;201;156;4
89;70;220;156;5
90;70;232;159;5
91;70;239;163;5
92;70;248;169;5
93;72;259;169;5
94;72;274;176;5
95;72;282;178;5
96;72;300;178;6
97;72;321;179;7
98;72;339;180;7
99;72;356;183;7
100;73;375;187;7
101;73;394;189;7
102;73;411;190;7
103;73;424;194;7
104;74;449;197;7
105;74;468;198;7
106;74;484;202;7
107;74;507;204;7
108;74;530;207;7
109;74;560;207;8
110;74;578;208;8
111;74;606;208;9
112;74;629;209;10
113;74;650;209;10
114;74;678;211;10
115;74;705;210;11
116;75;731;210;11
117;76;744;212;11
118;76;770;212;11
119;77;796;212;11
120;77;828;212;11
121;77;853;211;13
122;77;874;211;15
123;77;902;208;15
124;78;918;209;16
125;78;941;207;17
126;78;961;202;17
127;78;985;198;19
128;78;1005;197;19
129;80;1019;194;19
130;82;1041;193;20
131;82;1069;193;22
132;82;1084;192;23
133;83;1101;192;24
134;84;1122;189;25
135;84;1135;188;27
136;84;1147;185;30
137;84;1161;183;30
138;84;1180;180;33
139;84;1186;179;35
140;85;1202;179;35
141;85;1220;177;36
142;85;1223;172;38
143;86;1230;170;40
144;87;1237;166;42
145;87;1241;161;45
146;88;1244;158;48
147;89;1246;154;52
148;89;1247;151;55
149;90;1250;149;55
150;90;1242;143;58
151;91;1231;138;60
152;91;1219;134;62
153;91;1211;127;68
154;92;1186;122;73
155;92;1175;117;75
156;93;1162;108;82
157;94;1147;103;89
158;94;1116;100;91
159;96;1078;97;91
160;97;1041;89;95
161;98;1011;83;96
162;98;968;81;103
163;98;922;79;107
164;99;882;77;113
165;99;831;71;120
166;99;781;57;128
167;99;740;48;133
168;99;690;42;136
169;99;645;37;141
170;99;595;30;145
171;99;547;27;148
172;99;494;22;153
173;99;445;15;160
174;101;392;14;165
175;101;345;12;170
176;101;293;8;170
177;102;250;7;176
178;103;215;7;179
179;104;181;4;184
180;104;158;4;184
181;104;139;4;187
182;104;120;3;188
183;104;104;3;192
184;104;96;2;192
185;104;78;2;193
186;105;69;2;194
187;105;57;0;195
188;105;48;0;195
189;105;40;0;195
190;106;30;0;195
191;107;20;0;196
192;108;15;0;197
193;108;11;0;198
194;108;8;0;198
195;108;8;0;198
196;108;6;0;198
197;110;6;0;198
198;110;3;0;199
199;110;0;0;199
200;111;0;0;199
201;111;0;0;199
202;112;0;0;199
203;113;0;0;199
204;114;0;0;199
205;115;0;0;199
206;115;0;0;199
207;115;0;0;199
208;115;0;0;199
209;116;0;0;199
210;116;0;0;199
211;116;0;0;199
212;116;0;0;199
213;116;0;0;199
214;118;0;0;199
215;118;0;0;199
216;118;0;0;199
217;120;0;0;199
218;120;0;0;199
219;120;0;0;199
220;120;0;0;199
221;120;0;0;199
222;120;0;0;199
223;120;0;0;199
224;120;0;0;199
225;120;0;0;199
226;120;0;0;199
227;120;0;0;199
228;120;0;0;199
229;120;0;0;199
