Timestep;Food;Prey1;Prey2;Predators
0;46;16;12;3
1;46;17;13;3
2;46;17;13;3
3;46;18;13;3
4;46;18;14;3
5;46;18;14;3
6;46;19;14;3
7;46;20;13;3
8;46;20;14;3
9;46;20;14;3
10;46;20;14;3
11;46;21;15;3
12;46;23;18;3
13;46;24;20;3
14;46;25;21;3
15;46;27;21;3
16;46;28;21;3
17;46;31;22;3
18;46;31;22;3
19;46;31;23;3
20;46;32;23;3
21;47;33;25;3
22;47;33;25;3
23;47;33;26;3
24;47;34;26;3
25;47;35;26;3
26;47;36;28;3
27;47;39;29;3
28;47;39;32;3
29;47;40;31;3
30;47;40;34;3
31;47;42;34;3
32;47;42;35;3
33;48;42;35;3
34;48;42;35;3
35;49;42;36;3
36;49;44;36;3
37;49;44;36;3
38;50;45;37;3
39;50;48;38;3
40;50;54;38;3
41;50;55;38;3
42;50;59;38;3
43;51;60;39;3
44;51;61;40;3
45;51;64;40;3
46;51;65;40;3
47;51;67;41;3
48;51;69;41;3
49;52;70;41;3
50;52;73;41;3
51;52;75;40;3
52;53;77;41;3
53;53;77;42;3
54;54;80;42;3
55;55;83;42;3
56;56;85;42;3
57;56;89;41;3
58;56;91;40;3
59;57;93;40;3
60;57;97;40;3
61;57;100;43;3
62;57;102;45;3
63;58;107;46;3
64;60;108;50;3
65;60;109;52;3
66;60;116;52;3
67;60;118;53;3
68;60;119;54;3
69;60;121;54;3
70;60;123;55;3
71;61;125;56;3
72;61;127;56;3
73;61;133;56;3
74;61;137;57;3
75;61;138;61;3
76;61;141;63;3
77;61;146;63;3
78;61;150;65;3
79;61;156;67;3
80;62;159;70;3
81;62;163;71;3
82;62;166;74;3
83;62;170;76;3
84;62;182;76;3
85;62;190;78;3
86;62;197;78;3
87;62;199;80;3
88;62;203;83;3
89;63;207;88;4
90;64;210;90;4
91;64;221;91;4
92;64;226;93;4
93;64;234;94;4
94;64;245;99;4
95;64;256;101;4
96;64;260;103;4
97;65;276;105;4
98;65;281;108;4
99;65;287;112;4
100;65;293;112;4
101;66;300;114;4
102;66;310;116;4
103;67;319;118;5
104;68;331;119;5
105;68;338;124;5
106;68;353;126;5
107;69;373;126;5
108;69;387;126;5
109;69;399;128;5
110;69;410;131;5
111;69;425;132;5
112;70;438;133;5
113;71;452;136;5
114;71;477;137;5
115;71;499;138;5
116;71;509;140;5
117;72;520;140;5
118;72;531;141;6
119;73;552;143;6
120;73;574;145;6
121;75;594;145;6
122;76;616;144;6
123;76;635;148;6
124;76;660;150;7
125;77;685;151;7
126;77;713;155;7
127;77;732;156;8
128;79;756;162;8
129;79;773;162;9
130;79;790;162;9
131;79;812;160;9
132;79;832;161;9
133;80;862;160;10
134;80;889;159;10
135;81;919;158;11
136;81;942;157;11
137;81;963;155;12
138;82;986;154;13
139;83;1016;154;13
140;83;1034;154;13
141;83;1059;153;14
142;84;1074;152;16
143;84;1103;151;16
144;84;1131;147;17
145;84;1147;144;17
146;86;1167;145;17
147;86;1187;145;18
148;86;1205;146;22
149;89;1228;144;22
150;89;1242;144;23
151;89;1256;143;23
152;89;1270;142;24
153;89;1285;140;27
154;89;1295;139;27
155;89;1311;140;27
156;90;1336;140;28
157;90;1345;140;30
158;90;1356;138;31
159;91;1361;137;34
160;91;1367;134;34
161;91;1375;132;36
162;92;1378;131;42
163;94;1382;126;45
164;94;1390;123;46
165;96;1383;117;48
166;97;1379;115;49
167;97;1378;111;52
168;98;1373;107;55
169;99;1362;104;57
170;99;1348;101;59
171;99;1328;100;62
172;100;1310;95;65
173;101;1288;91;71
174;102;1261;89;77
170;101;1351;101;59
171;102;1344;98;63
172;102;1336;93;68
173;102;1320;89;72
174;102;1303;87;75
175;104;1274;84;78
176;104;1244;79;82
177;106;1208;77;86
178;106;1167;74;90
179;106;1129;72;93
180;106;1094;69;100
181;106;1048;66;102
182;106;1014;63;110
183;107;971;59;116
184;107;930;54;121
185;107;884;50;124
186;107;832;49;132
187;107;777;49;140
188;107;727;45;143
189;108;676;41;146
190;109;630;36;149
