Timestep;Food;Prey;Prey2;Predators
317;22;34;58;44
318;22;29;54;45
319;22;27;50;47
320;23;27;46;48
321;23;24;41;48
322;24;24;37;49
323;24;24;33;49
324;24;24;28;51
325;24;22;23;53
326;24;20;21;53
327;24;20;18;53
328;24;19;18;53
329;24;17;16;53
330;24;15;16;53
331;24;13;14;53
332;24;12;12;53
333;24;12;9;53
334;24;11;7;53
335;24;10;6;54
336;24;10;6;54
337;24;10;5;54
338;24;8;3;54
339;26;8;2;54
340;26;8;1;54
341;26;8;1;54
342;26;7;1;55
343;26;5;1;55
344;26;5;1;55
345;26;5;1;55
346;26;5;0;55
347;26;5;0;55
348;26;2;0;55
349;26;2;0;55
350;26;2;0;55
351;26;2;0;55
352;26;2;0;55
353;26;2;0;55
354;26;2;0;55
355;26;2;0;55
356;26;2;0;55
357;26;2;0;55
358;26;2;0;55
359;26;2;0;54
360;26;2;0;54
361;26;2;0;54
362;26;1;0;54
363;26;1;0;53
364;26;1;0;53
365;26;1;0;53
366;26;1;0;53
367;26;1;0;53
368;26;0;0;53
369;26;0;0;53
370;26;0;0;53
371;26;0;0;52
372;26;0;0;52
373;26;0;0;52
374;26;0;0;52
375;26;0;0;52
376;26;0;0;52
377;26;0;0;52
378;26;0;0;52
379;27;0;0;52
380;28;0;0;52
381;28;0;0;52
382;29;0;0;51
383;29;0;0;51
384;29;0;0;51
385;29;0;0;50
386;29;0;0;50
387;29;0;0;49
388;29;0;0;49
389;29;0;0;48
390;29;0;0;48
391;29;0;0;47
392;29;0;0;45
393;29;0;0;45
394;29;0;0;45
395;29;0;0;44
396;29;0;0;44
397;29;0;0;43
398;29;0;0;43
399;30;0;0;42
400;30;0;0;42
401;31;0;0;42
402;31;0;0;41
403;31;0;0;41
404;31;0;0;41
405;31;0;0;41
406;31;0;0;41
407;32;0;0;41
408;32;0;0;41
409;32;0;0;40
410;32;0;0;40
411;32;0;0;40
412;32;0;0;39
413;32;0;0;39
414;32;0;0;39
415;32;0;0;39
416;32;0;0;39
417;32;0;0;39
418;32;0;0;39
419;32;0;0;39
420;32;0;0;38
421;32;0;0;38
422;32;0;0;38
423;32;0;0;37
424;32;0;0;37
425;32;0;0;37
426;32;0;0;37
427;32;0;0;37
428;32;0;0;37
429;32;0;0;37
430;32;0;0;37
431;32;0;0;37
432;32;0;0;37
433;32;0;0;37
434;32;0;0;36
435;32;0;0;36
436;32;0;0;35
437;32;0;0;34
438;32;0;0;34
439;32;0;0;34
440;32;0;0;34
441;32;0;0;34
442;33;0;0;34
443;33;0;0;33
444;33;0;0;33
445;34;0;0;33
446;34;0;0;33
447;34;0;0;33
448;34;0;0;33
449;35;0;0;33
450;35;0;0;33
451;36;0;0;33
452;36;0;0;33
453;36;0;0;33
454;36;0;0;32
455;36;0;0;32
456;36;0;0;31
457;36;0;0;31
458;36;0;0;30
459;36;0;0;30
460;36;0;0;30
461;36;0;0;30
462;36;0;0;30
463;36;0;0;29
464;36;0;0;27
465;36;0;0;27
466;36;0;0;27
467;36;0;0;27
468;36;0;0;27
469;36;0;0;27
470;36;0;0;27
471;36;0;0;27
472;36;0;0;27
473;36;0;0;27
474;36;0;0;26
475;36;0;0;26
476;36;0;0;26
477;36;0;0;26
478;36;0;0;26
479;36;0;0;26
480;36;0;0;26
481;36;0;0;26
482;36;0;0;26
483;36;0;0;24
484;36;0;0;24
485;36;0;0;24
486;36;0;0;24
487;36;0;0;24
488;36;0;0;24
489;36;0;0;24
490;36;0;0;24
491;36;0;0;24
492;36;0;0;24
493;36;0;0;24
494;36;0;0;24
495;36;0;0;24
496;36;0;0;24
497;36;0;0;24
498;36;0;0;24
499;36;0;0;23
500;36;0;0;23
501;36;0;0;23
502;36;0;0;23
503;37;0;0;23
504;37;0;0;23
505;37;0;0;23
506;37;0;0;23
507;37;0;0;23
508;37;0;0;23
509;37;0;0;23
510;37;0;0;21
511;37;0;0;20
512;37;0;0;20
513;37;0;0;20
514;37;0;0;20
515;37;0;0;19
516;37;0;0;19
517;37;0;0;19
518;37;0;0;19
519;37;0;0;19
520;37;0;0;18
521;37;0;0;18
522;37;0;0;18
523;37;0;0;18
524;37;0;0;18
525;37;0;0;17
526;37;0;0;17
527;37;0;0;17
528;37;0;0;17
529;37;0;0;17
530;37;0;0;17
531;37;0;0;17
532;37;0;0;17
533;37;0;0;17
534;37;0;0;17
535;37;0;0;17
536;37;0;0;17
537;37;0;0;17
538;37;0;0;17
539;37;0;0;17
540;37;0;0;17
541;37;0;0;17
542;37;0;0;17
543;37;0;0;17
544;38;0;0;16
545;38;0;0;16
546;38;0;0;15
547;38;0;0;15
548;38;0;0;15
549;38;0;0;15
550;38;0;0;15
551;39;0;0;15
552;39;0;0;15
553;39;0;0;15
554;39;0;0;15
555;39;0;0;14
556;39;0;0;14
557;39;0;0;14
558;39;0;0;14
559;39;0;0;14
560;39;0;0;14
561;39;0;0;14
562;39;0;0;14
563;39;0;0;14
564;40;0;0;14
565;41;0;0;14
566;41;0;0;13
567;41;0;0;12
568;41;0;0;11
569;41;0;0;11
570;41;0;0;10
571;41;0;0;10
572;41;0;0;10
573;41;0;0;10
574;41;0;0;10
575;41;0;0;9
576;41;0;0;8
577;41;0;0;8
578;42;0;0;8
579;42;0;0;8
580;42;0;0;7
581;42;0;0;7
582;43;0;0;7
583;43;0;0;6
584;43;0;0;6
585;44;0;0;6
586;44;0;0;5
587;44;0;0;5
588;44;0;0;5
589;44;0;0;5
590;44;0;0;5
591;45;0;0;5
592;45;0;0;4
593;45;0;0;4
594;45;0;0;4
595;45;0;0;4
596;45;0;0;4
597;45;0;0;4
598;45;0;0;4
599;45;0;0;4
600;45;0;0;4
601;46;0;0;3
602;46;0;0;3
603;46;0;0;3
604;46;0;0;3
605;46;0;0;3
606;46;0;0;3
607;46;0;0;3
608;46;0;0;3
609;46;0;0;3
610;47;0;0;3
611;48;0;0;3
612;48;0;0;3
613;48;0;0;3
614;49;0;0;3
615;49;0;0;3
616;49;0;0;3
617;49;0;0;3
618;49;0;0;3
619;49;0;0;3
620;49;0;0;3
621;49;0;0;3
622;49;0;0;3
623;49;0;0;3
624;49;0;0;3
625;49;0;0;3
626;49;0;0;3
627;49;0;0;3
628;49;0;0;3
629;49;0;0;3
630;49;0;0;3
631;49;0;0;3
632;49;0;0;3
633;49;0;0;3
634;49;0;0;3
635;49;0;0;3
636;49;0;0;3
637;49;0;0;3
638;49;0;0;3
639;49;0;0;3
640;49;0;0;3
641;49;0;0;3
642;50;0;0;3
643;50;0;0;3
644;50;0;0;3
645;50;0;0;3
646;50;0;0;3
647;51;0;0;3
648;51;0;0;3
649;51;0;0;3
650;51;0;0;2
651;51;0;0;2
652;51;0;0;1
653;51;0;0;1
654;51;0;0;1
655;51;0;0;1
656;51;0;0;1
657;52;0;0;1
658;52;0;0;1
659;52;0;0;1
660;52;0;0;1
