Timestep;Food;Prey1;Prey2;Predators
0;45;12;12;3
1;45;12;14;3
2;45;13;16;3
3;45;14;16;3
4;45;17;16;3
5;45;18;18;3
6;45;18;19;3
7;45;17;21;3
8;45;17;23;3
9;46;18;24;3
10;47;18;24;3
11;47;18;24;3
12;48;18;26;3
13;48;18;25;3
14;48;18;25;3
15;48;18;26;3
16;49;18;26;3
17;49;19;26;3
18;49;19;26;3
19;49;19;26;3
20;49;18;26;3
21;49;20;26;3
22;49;20;27;3
23;49;20;28;3
24;50;20;28;3
25;50;20;30;3
26;50;20;31;3
27;51;20;31;3
28;51;21;31;3
29;51;24;31;3
30;51;25;30;3
31;51;26;31;3
32;51;30;31;3
33;51;33;32;3
34;51;33;34;3
35;51;35;34;3
36;51;37;34;3
37;51;38;36;3
38;51;37;37;3
39;51;42;38;3
40;51;43;39;3
41;51;44;39;3
42;51;46;40;3
43;51;52;40;3
44;51;53;41;3
45;51;54;42;3
46;51;56;43;3
47;51;62;44;3
48;51;66;47;3
49;51;73;51;3
50;51;81;52;3
51;51;89;54;3
52;51;96;58;3
53;51;104;59;3
54;51;107;59;4
55;51;110;60;4
56;51;116;61;4
57;52;119;63;4
58;52;126;66;4
59;52;129;68;4
60;52;135;69;4
61;52;142;74;4
62;52;153;75;4
63;52;159;79;4
64;53;169;83;4
65;53;178;85;5
66;53;184;89;5
67;53;198;91;5
68;53;212;95;5
69;53;221;100;5
70;54;234;101;5
71;55;256;102;5
72;56;273;102;5
73;56;290;104;5
74;56;316;104;5
75;56;331;104;5
76;57;348;105;5
77;57;364;106;5
78;57;383;107;6
79;57;399;108;6
80;57;418;107;6
81;57;434;107;6
82;57;446;108;6
83;57;461;108;7
84;57;479;107;7
85;57;494;107;7
86;59;515;108;8
87;59;533;107;10
88;59;549;108;10
89;59;570;108;10
90;60;580;108;10
91;61;593;108;10
92;61;611;107;10
93;61;629;106;10
94;62;649;105;11
95;62;658;105;13
96;63;670;105;16
97;63;681;106;16
98;63;697;105;16
99;63;708;104;16
100;63;715;104;17
101;63;730;102;17
102;64;742;101;17
103;64;748;101;17
104;64;761;101;18
105;64;766;100;20
106;65;774;98;22
107;65;777;95;25
108;65;774;93;25
109;65;770;91;27
110;65;770;90;30
111;65;766;89;31
112;66;761;87;31
113;66;762;87;31
114;66;765;83;33
115;66;765;81;34
116;66;762;78;39
117;66;747;77;41
118;66;739;75;41
119;67;732;73;45
120;67;715;71;47
121;67;692;70;47
122;67;670;68;48
123;69;651;68;48
124;69;638;65;53
125;69;614;60;59
126;69;596;57;60
127;69;572;54;62
128;71;545;52;63
129;71;524;49;65
130;71;500;45;66
131;71;474;43;66
132;72;451;42;67
133;72;425;41;72
134;73;394;40;77
135;74;362;40;80
136;74;337;37;83
137;74;314;32;87
138;74;290;30;89
139;74;268;30;90
140;76;249;25;92
141;76;232;23;92
142;77;212;21;96
143;77;193;18;97
144;77;173;18;100
145;79;159;16;102
146;79;145;15;103
147;79;133;14;104
148;79;122;14;105
149;79;114;11;105
150;80;108;8;106
151;80;98;8;108
152;80;90;7;108
153;80;83;7;109
154;80;76;7;112
155;81;73;7;113
156;82;70;7;114
157;82;66;7;114
158;82;64;6;115
159;82;60;5;115
160;83;59;4;115
161;83;57;4;117
162;84;52;4;117
163;85;49;3;117
164;85;47;2;117
165;85;45;2;118
166;86;43;1;118
