Timestep;Food;Prey1;Prey2;Predators
0;45;18;10;3
1;45;19;10;3
2;46;18;10;3
3;46;19;11;3
4;47;21;11;3
5;48;24;11;3
6;48;24;12;3
7;49;25;13;3
8;49;30;13;3
9;49;30;13;3
10;49;31;13;3
11;49;30;14;3
12;49;30;14;3
13;49;31;15;3
14;50;30;15;3
15;50;31;18;3
16;50;31;18;3
17;50;31;21;3
18;51;31;22;3
19;51;32;23;3
20;51;33;23;3
21;51;33;24;3
22;52;33;25;3
23;52;35;25;3
24;52;34;26;3
25;52;36;26;3
26;52;36;26;3
27;52;36;27;3
28;52;37;29;3
29;53;37;28;3
30;53;39;29;3
31;53;43;30;3
32;53;43;30;3
33;53;43;33;3
34;54;45;35;3
35;55;51;36;3
36;55;54;38;3
37;55;55;39;3
38;56;55;42;3
39;57;57;42;3
40;57;61;43;3
41;57;64;46;3
42;57;68;50;3
43;59;70;51;3
44;59;73;52;3
45;60;75;51;3
46;60;77;52;3
47;60;78;54;3
48;60;81;53;3
49;60;84;52;3
50;60;85;55;3
51;60;86;58;3
52;61;86;59;3
53;61;87;59;3
54;61;93;59;3
55;61;94;61;3
56;61;98;64;3
57;61;106;66;3
58;61;113;68;3
59;62;122;68;3
60;62;127;67;4
61;63;130;69;4
62;63;132;71;5
63;63;134;71;5
64;63;134;71;5
65;65;133;71;5
66;65;135;73;5
67;66;136;73;5
68;66;140;74;5
69;67;143;77;5
70;67;145;77;5
71;67;148;76;5
72;67;153;75;5
73;67;158;73;5
74;67;160;73;5
75;68;164;72;5
76;69;167;72;5
77;69;173;73;5
78;69;177;75;5
79;69;183;75;5
80;69;190;75;5
81;69;193;76;5
82;69;202;76;5
83;69;217;76;5
84;69;227;75;5
85;70;234;77;5
86;70;241;77;6
87;70;249;78;7
88;72;266;77;7
89;72;275;79;7
90;72;284;79;8
91;72;297;79;8
92;73;308;79;8
93;73;316;79;8
94;73;327;79;9
95;73;343;79;9
96;73;351;80;9
97;73;358;82;10
98;73;365;84;10
99;73;378;83;10
100;73;392;83;10
101;74;396;85;10
102;75;408;86;11
103;75;413;88;11
104;75;422;89;11
105;76;437;90;12
106;76;448;92;13
107;76;457;90;13
108;77;471;89;14
109;78;482;89;16
110;78;486;91;16
111;78;492;91;17
112;78;504;88;17
113;78;510;87;17
114;78;526;86;17
115;78;537;86;17
116;78;536;85;18
117;79;534;85;18
118;79;541;82;19
119;79;539;79;19
120;79;539;77;20
121;80;539;75;21
122;80;539;74;21
123;80;535;72;23
124;80;529;71;24
125;80;522;69;24
126;80;523;69;25
127;80;521;68;27
128;81;517;67;28
129;82;513;65;30
130;84;503;64;31
131;85;490;63;33
132;86;484;60;34
133;86;475;58;35
134;86;465;55;38
135;86;448;55;38
136;87;433;54;40
137;87;417;54;42
138;87;402;52;42
139;87;386;50;42
140;87;376;48;45
141;87;356;48;45
142;87;339;47;48
143;87;319;42;51
144;88;298;33;53
145;88;272;33;56
146;88;254;30;56
147;88;233;26;57
148;88;212;26;58
149;89;199;23;60
150;90;183;19;61
151;91;174;16;61
