Timestep;Food;Prey;Prey2;Predators
0;45;21;14;3
1;45;24;13;3
2;45;26;13;3
3;45;26;13;3
4;45;26;15;3
5;46;27;15;3
6;46;29;18;3
7;46;29;19;3
8;46;29;20;3
9;46;30;20;3
10;46;32;24;3
11;47;31;25;3
12;47;35;25;3
13;47;38;26;3
14;47;41;27;3
15;48;46;28;3
16;49;49;28;3
17;49;51;28;3
18;50;53;29;3
19;50;57;29;3
20;52;62;29;3
21;52;69;29;3
22;52;78;31;3
23;52;84;33;3
24;52;88;34;3
25;52;92;34;3
26;52;96;36;3
27;52;107;36;3
28;52;111;37;3
29;52;119;37;3
30;52;125;37;3
31;53;133;37;3
32;53;137;38;3
33;54;143;40;3
34;54;153;40;3
35;54;159;41;3
36;54;168;44;3
37;54;174;44;3
38;54;180;46;3
39;54;187;47;3
40;55;199;47;3
41;55;211;48;3
42;55;218;49;3
43;55;233;49;3
44;55;242;51;3
45;55;251;53;3
46;55;258;53;3
47;55;266;54;3
48;55;271;55;3
49;55;280;57;3
50;55;290;57;3
51;55;303;57;3
52;56;313;56;3
53;57;333;56;4
54;57;344;58;4
55;57;364;58;4
56;57;378;58;4
57;57;401;58;4
58;57;419;58;4
59;57;437;58;4
60;58;455;58;4
61;58;468;59;5
62;58;486;60;5
63;58;503;60;5
64;59;525;61;5
65;60;541;62;6
66;60;565;62;6
67;61;581;61;6
68;62;600;61;6
69;63;623;61;6
70;63;639;61;8
71;63;659;61;8
72;64;676;61;8
73;64;690;60;8
74;64;714;59;8
75;64;731;59;8
76;64;748;59;9
77;66;767;58;9
78;66;788;58;9
79;66;806;58;11
80;66;824;58;11
81;67;848;57;12
82;67;862;56;14
83;68;870;56;14
84;68;881;55;14
85;68;889;54;15
86;69;901;54;15
87;70;922;53;15
88;70;934;51;17
89;70;944;51;17
90;70;958;51;18
91;70;971;50;21
92;70;978;50;21
93;70;986;50;22
94;71;990;50;23
95;72;999;50;23
96;72;1006;51;23
97;72;1006;50;26
98;72;1007;47;27
99;73;1006;47;29
100;73;1003;46;33
101;74;989;45;35
102;74;973;42;38
103;74;961;38;39
104;75;947;34;41
105;76;930;33;43
106;76;914;33;44
107;76;909;30;46
108;77;895;30;47
109;77;876;30;51
110;77;858;29;54
111;78;838;29;60
112;78;818;26;61
113;78;785;24;64
114;78;753;22;65
115;78;728;21;69
116;80;692;20;72
117;80;655;17;75
118;81;619;16;77
119;82;586;16;81
120;83;556;16;88
121;83;522;15;90
122;83;489;10;92
123;83;447;9;94
124;83;411;9;96
125;83;380;9;100
126;83;351;8;105
127;83;315;8;106
128;83;284;8;108
129;83;258;8;109
130;84;233;8;112
131;84;207;7;115
132;84;187;7;117
133;85;163;7;119
134;86;144;5;120
135;86;126;4;123
136;87;110;3;124
137;89;93;2;125
138;89;80;1;125
139;89;67;1;126
140;89;59;1;126
141;89;53;1;126
142;89;46;0;127
143;89;40;0;127
144;90;36;0;129
145;90;31;0;130
146;90;27;0;130
147;90;25;0;130
148;91;22;0;130
149;91;20;0;131
150;93;17;0;131
151;93;13;0;132
152;94;10;0;132
153;94;8;0;133
154;94;5;0;133
155;95;2;0;133
156;96;1;0;133
157;96;1;0;133
158;96;0;0;133
159;98;0;0;133
160;98;0;0;133
161;98;0;0;133
162;98;0;0;133
163;98;0;0;133
164;98;0;0;133
165;98;0;0;133
166;98;0;0;133
167;99;0;0;133
168;99;0;0;133
169;99;0;0;133
170;100;0;0;133
171;100;0;0;133
172;101;0;0;133
173;102;0;0;133
174;102;0;0;133
175;102;0;0;133
176;103;0;0;133
177;103;0;0;133
178;104;0;0;133
179;105;0;0;133
180;107;0;0;133
181;107;0;0;133
182;108;0;0;133
183;108;0;0;133
184;108;0;0;133
185;109;0;0;133
186;111;0;0;133
187;111;0;0;133
188;114;0;0;133
189;114;0;0;133
190;114;0;0;133
191;114;0;0;133
192;114;0;0;133
193;115;0;0;133
194;115;0;0;133
195;115;0;0;133
196;116;0;0;133
197;116;0;0;133
198;117;0;0;133
199;118;0;0;133
200;118;0;0;133
201;118;0;0;133
202;120;0;0;133
203;120;0;0;133
204;120;0;0;133
205;120;0;0;133
206;120;0;0;133
207;120;0;0;133
208;120;0;0;133
209;120;0;0;133
210;120;0;0;133
211;120;0;0;133
212;120;0;0;133
213;120;0;0;133
214;120;0;0;133
215;120;0;0;133
216;120;0;0;133
217;120;0;0;133
218;120;0;0;133
219;120;0;0;133
220;120;0;0;133
221;120;0;0;133
222;120;0;0;133
223;120;0;0;133
224;120;0;0;133
225;120;0;0;133
226;120;0;0;133
227;120;0;0;133
228;120;0;0;133
229;120;0;0;133
230;120;0;0;133
231;120;0;0;133
232;120;0;0;133
233;120;0;0;133
234;120;0;0;133
