Timestep;Food;Prey1;Prey2;Predators
0;45;16;13;3
1;45;19;16;3
2;45;20;15;3
3;45;21;15;3
4;46;23;14;3
5;46;25;15;3
6;46;29;17;3
7;46;29;20;3
8;46;32;23;3
9;46;38;23;3
10;46;40;23;3
11;46;40;24;3
12;47;40;25;3
13;47;43;25;3
14;47;47;26;3
15;47;49;27;3
16;48;51;28;3
17;48;51;30;3
18;48;59;30;3
19;48;62;30;3
20;49;61;32;3
21;49;61;34;3
22;49;62;34;3
23;49;67;33;3
24;49;73;34;3
25;49;77;37;3
26;49;85;38;3
27;49;90;38;3
28;50;97;41;3
29;50;108;41;3
30;50;110;43;3
31;50;123;43;3
32;50;129;46;3
33;51;138;49;3
34;52;142;52;3
35;52;147;50;3
36;52;152;50;3
37;52;157;54;3
38;52;163;56;3
39;53;171;55;4
40;53;177;56;4
41;53;187;55;4
42;53;193;56;4
43;53;201;57;4
44;53;210;58;4
45;53;218;57;4
46;53;223;61;4
47;53;233;62;4
48;53;243;62;5
49;53;256;63;5
50;53;263;64;5
51;54;271;66;5
52;54;279;64;5
53;54;294;64;5
54;54;307;65;6
55;55;318;66;6
56;56;332;65;6
57;57;348;64;7
58;57;357;64;7
59;57;367;64;7
60;58;382;65;7
61;58;395;65;7
62;58;412;64;7
63;58;421;64;8
64;58;435;64;9
65;58;448;65;9
66;58;462;65;9
67;58;472;65;9
68;58;478;66;9
69;58;488;67;9
70;58;499;64;11
71;58;506;64;11
72;58;513;64;11
73;58;526;65;14
74;59;537;64;14
75;60;548;64;14
76;60;563;63;14
77;60;569;63;15
78;60;576;64;16
79;60;582;63;17
80;61;590;63;17
81;62;595;63;18
82;63;602;62;19
83;63;611;62;20
84;63;611;61;21
85;63;613;60;22
86;63;615;60;25
87;63;614;59;26
88;63;611;58;27
89;64;613;58;28
90;64;610;58;30
91;64;612;56;34
92;64;604;56;34
93;64;604;56;34
94;65;598;55;36
95;65;589;53;38
96;66;584;50;38
97;66;569;50;38
98;66;562;49;39
99;67;560;47;43
100;67;543;45;44
101;67;534;41;45
102;67;521;40;49
103;67;502;38;52
104;67;480;34;56
105;68;455;30;58
106;68;431;29;58
107;68;413;25;61
108;69;392;24;64
109;69;366;21;67
110;71;341;20;68
111;71;322;16;70
112;72;301;13;74
113;74;273;12;78
114;75;243;11;79
115;75;219;10;81
116;76;193;8;81
117;76;170;6;83
118;76;146;7;84
119;76;127;5;88
120;76;114;4;90
121;76;98;3;93
122;77;86;2;95
123;77;73;2;95
124;77;62;1;96
125;77;54;1;97
126;77;45;1;99
127;78;40;1;99
128;80;33;0;99
129;80;27;0;99
130;80;23;0;100
131;80;20;0;101
132;81;18;0;101
133;82;14;0;101
134;82;11;0;101
135;82;10;0;101
136;82;8;0;102
137;83;6;0;102
138;83;4;0;102
139;83;2;0;102
140;83;0;0;102
141;83;0;0;102
142;84;0;0;102
143;84;0;0;102
144;86;0;0;102
145;86;0;0;102
146;87;0;0;102
147;87;0;0;102
148;88;0;0;102
149;88;0;0;102
150;89;0;0;102
151;89;0;0;102
152;89;0;0;102
153;89;0;0;102
154;89;0;0;102
155;89;0;0;102
156;91;0;0;102
157;91;0;0;102
158;91;0;0;102
159;91;0;0;102
160;92;0;0;102
161;92;0;0;102
162;93;0;0;102
163;93;0;0;102
164;93;0;0;102
165;93;0;0;102
166;93;0;0;102
167;93;0;0;102
168;93;0;0;102
169;95;0;0;102
170;95;0;0;102
171;96;0;0;102
172;97;0;0;102
173;99;0;0;102
174;100;0;0;102
175;100;0;0;102
176;101;0;0;102
177;101;0;0;102
178;102;0;0;102
179;102;0;0;102
180;104;0;0;102
181;106;0;0;102
182;106;0;0;102
183;106;0;0;102
184;107;0;0;102
185;107;0;0;102
186;107;0;0;102
187;108;0;0;102
188;108;0;0;102
189;108;0;0;102
190;108;0;0;102
191;108;0;0;102
192;109;0;0;102
193;110;0;0;102
194;110;0;0;102
195;111;0;0;102
196;112;0;0;102
197;113;0;0;102
198;113;0;0;102
199;113;0;0;102
200;113;0;0;102
201;113;0;0;102
202;114;0;0;102
203;114;0;0;102
204;115;0;0;102
205;116;0;0;102
206;116;0;0;102
207;116;0;0;102
208;117;0;0;102
209;117;0;0;102
210;117;0;0;102
211;117;0;0;102
212;117;0;0;102
213;118;0;0;102
214;120;0;0;102
215;120;0;0;102
216;120;0;0;102
217;120;0;0;102
218;120;0;0;102
219;120;0;0;102
220;120;0;0;102
221;120;0;0;102
222;120;0;0;102
223;120;0;0;102
224;120;0;0;102
225;120;0;0;102
226;120;0;0;102
227;120;0;0;102
228;120;0;0;102
229;120;0;0;102
230;120;0;0;102
231;120;0;0;102
232;120;0;0;102
233;120;0;0;101
234;120;0;0;101
235;120;0;0;101
236;120;0;0;99
237;120;0;0;99
238;120;0;0;96
239;120;0;0;96
240;120;0;0;96
241;120;0;0;95
242;120;0;0;93
243;120;0;0;92
244;120;0;0;92
245;120;0;0;92
246;120;0;0;91
247;120;0;0;90
248;120;0;0;90
249;120;0;0;90
250;120;0;0;89
251;120;0;0;88
252;120;0;0;88
253;120;0;0;87
254;120;0;0;85
255;120;0;0;82
256;120;0;0;80
257;120;0;0;80
258;120;0;0;79
259;120;0;0;78
260;120;0;0;75
261;120;0;0;75
262;120;0;0;75
263;120;0;0;75
264;120;0;0;74
265;120;0;0;73
266;120;0;0;73
267;120;0;0;73
268;120;0;0;73
269;120;0;0;72
270;120;0;0;71
271;120;0;0;71
272;120;0;0;71
273;120;0;0;71
274;120;0;0;71
275;120;0;0;70
276;120;0;0;70
277;120;0;0;68
278;120;0;0;67
279;120;0;0;65
280;120;0;0;65
281;120;0;0;65
282;120;0;0;64
283;120;0;0;63
284;120;0;0;63
285;120;0;0;62
286;120;0;0;62
287;120;0;0;61
288;120;0;0;61
289;120;0;0;61
290;120;0;0;61
291;120;0;0;61
292;120;0;0;61
293;120;0;0;61
294;120;0;0;60
295;120;0;0;60
296;120;0;0;59
297;120;0;0;59
298;120;0;0;59
299;120;0;0;58
300;120;0;0;57
301;120;0;0;56
302;120;0;0;55
303;120;0;0;55
304;120;0;0;55
305;120;0;0;55
306;120;0;0;55
307;120;0;0;55
308;120;0;0;54
309;120;0;0;54
310;120;0;0;52
311;120;0;0;52
312;120;0;0;51
