Timestep;Food;Prey1;Prey2;Predators
0;45;15;13;3
1;45;16;13;3
2;45;18;13;3
3;45;18;13;3
4;46;18;13;3
5;46;18;13;3
6;46;19;15;3
7;46;21;18;3
8;46;21;18;3
9;46;21;19;3
10;47;21;19;3
11;48;22;21;3
12;48;24;26;3
13;48;27;26;3
14;48;28;26;3
15;49;30;26;3
16;49;30;27;3
17;49;32;31;3
18;49;33;31;3
19;49;34;31;3
20;49;39;31;3
21;49;44;31;3
22;49;46;31;3
23;49;47;32;3
24;49;46;32;3
25;49;46;31;3
26;50;46;31;3
27;50;52;31;3
28;50;52;34;3
29;51;54;35;3
30;51;54;34;3
31;52;53;34;3
32;53;55;35;3
33;55;60;36;3
34;55;64;37;3
35;55;67;37;3
36;55;71;37;3
37;55;72;40;3
38;55;73;42;3
39;55;72;42;3
40;55;74;43;3
41;55;76;44;3
42;55;78;44;3
43;55;82;46;3
44;57;84;50;3
45;57;92;52;3
46;57;102;53;3
47;57;108;55;3
48;57;112;57;3
49;57;118;59;3
50;57;126;62;3
51;57;131;65;3
52;57;143;66;3
53;57;151;69;3
54;57;160;69;3
55;57;167;70;3
56;57;173;71;3
57;57;178;77;4
58;57;193;76;4
59;58;204;77;4
60;58;211;79;4
61;58;227;79;4
62;58;243;77;5
63;59;264;77;5
64;59;284;78;5
65;59;297;80;5
66;59;315;81;6
67;61;328;82;6
68;61;346;80;6
69;62;367;81;7
70;62;379;81;8
71;64;396;81;8
72;65;410;81;8
73;65;426;82;8
74;66;439;82;8
75;66;461;82;8
76;66;485;85;8
77;66;502;84;8
78;66;521;84;8
79;67;530;85;9
80;68;548;85;10
81;68;570;84;10
82;68;593;84;10
83;68;606;84;11
84;69;620;83;12
85;70;637;81;15
86;71;650;80;15
87;71;658;80;15
88;71;671;80;17
89;72;687;80;18
90;74;703;76;18
91;74;718;75;19
92;74;724;74;20
93;74;733;73;21
94;74;746;73;24
95;74;753;72;24
96;75;762;71;25
97;75;773;69;27
98;75;780;65;27
99;75;785;62;28
100;76;781;62;30
101;76;777;62;33
102;76;779;60;35
103;76;774;59;38
104;77;775;57;39
105;77;769;55;41
106;77;759;53;42
107;77;752;50;44
108;77;742;49;45
109;77;727;48;47
110;77;713;45;50
111;77;703;41;53
112;77;685;40;55
113;77;666;40;59
114;78;646;40;64
115;78;622;34;68
116;78;589;29;71
117;78;558;27;73
118;78;534;25;76
119;79;502;25;76
120;79;466;24;80
121;80;431;22;83
122;80;396;20;86
123;80;368;17;89
124;80;338;13;94
125;80;300;11;96
126;80;270;11;98
127;81;249;8;100
128;82;220;6;103
129;82;193;6;107
130;82;166;6;107
131;82;148;5;109
132;82;129;4;109
133;82;108;3;110
134;82;89;3;114
135;82;76;1;117
136;82;66;1;117
137;82;55;0;118
138;82;43;0;120
139;82;35;0;120
140;83;26;0;120
141;84;22;0;120
142;85;19;0;120
143;85;16;0;120
144;85;11;0;120
145;86;6;0;120
146;86;4;0;121
147;88;2;0;121
148;89;2;0;121
149;89;2;0;121
150;89;1;0;121
151;90;0;0;121
152;90;0;0;121
153;90;0;0;121
154;90;0;0;121
155;90;0;0;121
156;91;0;0;121
157;92;0;0;121
158;94;0;0;121
159;95;0;0;121
160;96;0;0;121
161;96;0;0;121
162;96;0;0;121
163;96;0;0;121
164;96;0;0;121
165;96;0;0;121
166;97;0;0;121
167;99;0;0;121
168;99;0;0;121
169;99;0;0;121
170;99;0;0;121
171;100;0;0;121
172;101;0;0;121
173;101;0;0;121
