Timestep;Food;Prey1;Prey2;Predators
0;45;14;11;3
1;45;14;11;3
2;45;14;11;3
3;45;14;12;3
4;45;14;13;3
5;46;14;14;3
6;46;14;14;3
7;47;14;14;3
8;47;14;14;3
9;47;14;14;3
10;47;14;15;3
11;47;14;15;3
12;47;14;15;3
13;47;14;17;3
14;47;14;16;3
15;47;14;17;3
16;47;14;19;3
17;47;14;20;3
18;47;14;21;3
19;47;14;21;3
20;48;14;22;3
21;49;14;22;3
22;49;14;22;3
23;49;14;22;3
24;50;13;22;3
25;50;13;22;3
26;51;13;22;3
27;51;13;22;3
28;51;13;22;3
29;52;13;22;3
30;53;13;22;3
31;53;13;24;3
32;55;13;24;3
33;55;13;24;3
34;55;13;24;3
35;55;13;24;3
36;56;13;24;3
37;56;13;24;3
38;56;13;25;3
39;56;13;26;3
40;56;13;26;3
41;56;13;27;3
42;56;13;27;3
43;56;13;27;3
44;57;13;27;3
45;57;13;29;3
46;58;12;30;3
47;58;12;31;3
48;58;12;31;3
49;58;12;31;3
50;58;12;31;3
51;59;12;33;3
52;59;12;35;3
53;59;12;36;3
54;59;12;37;3
55;59;12;37;3
56;59;12;39;3
57;59;12;41;3
58;59;12;42;3
59;59;12;42;3
60;59;12;42;3
61;59;12;43;3
62;60;12;45;3
63;62;12;46;3
64;62;12;47;3
65;62;12;49;3
66;63;12;49;3
67;64;12;50;3
68;64;12;52;3
69;64;12;54;3
70;64;12;55;3
71;64;12;55;3
72;66;12;53;3
73;66;12;53;3
74;66;12;55;3
75;66;12;58;3
76;66;12;58;3
77;66;12;59;3
78;67;13;60;3
79;67;13;64;3
80;67;13;64;3
81;67;13;66;3
82;68;13;66;3
83;68;13;69;3
84;69;14;73;3
85;69;14;74;3
86;69;14;74;3
87;70;14;74;3
88;70;14;76;3
89;71;14;79;3
90;71;14;77;3
91;71;14;78;3
92;71;13;79;3
93;71;13;80;3
94;71;13;85;3
95;71;14;92;3
96;71;14;93;3
97;71;14;93;3
98;72;14;98;3
99;72;14;99;3
100;72;14;102;3
101;72;14;106;3
102;72;14;107;3
103;72;14;109;3
104;72;14;111;3
105;72;14;116;3
106;72;14;120;3
107;72;14;122;3
108;73;14;127;3
109;73;14;128;3
110;74;14;132;3
111;74;13;136;3
112;74;13;138;3
113;74;13;143;3
114;74;13;151;3
115;75;13;152;3
116;76;13;155;3
117;76;13;156;3
118;76;13;157;3
119;76;13;160;3
120;77;13;170;3
121;78;13;173;3
122;78;13;174;3
123;78;13;175;3
124;78;13;184;3
125;78;13;188;3
126;78;13;193;3
127;78;13;202;3
128;78;13;208;3
129;79;13;216;3
130;79;14;228;3
131;79;14;231;3
132;79;14;240;3
133;79;14;246;3
134;79;14;252;3
135;79;14;263;3
136;79;14;276;3
137;79;15;285;3
138;79;16;293;3
139;80;16;301;3
140;80;17;316;4
141;81;18;322;4
142;81;19;334;4
143;81;19;338;4
144;81;19;344;4
145;81;22;352;4
146;81;22;358;6
147;82;22;362;6
148;83;22;367;6
149;85;22;379;6
150;85;22;385;6
151;85;23;394;6
152;86;24;403;6
153;86;24;417;6
154;86;25;426;6
155;87;25;440;6
156;88;25;452;6
157;88;25;465;6
158;88;25;480;7
159;88;27;485;7
160;88;27;501;7
161;88;28;513;7
162;88;28;522;7
163;88;28;539;7
164;88;30;553;7
165;89;31;561;7
166;91;32;567;7
167;91;33;580;7
168;92;32;590;8
169;92;33;597;10
170;93;34;603;10
171;94;34;611;10
172;94;34;626;10
173;95;37;638;11
174;96;37;646;11
175;96;39;657;11
176;96;42;656;12
177;96;42;664;12
178;97;42;678;13
179;100;43;691;13
180;100;43;699;13
181;103;45;706;13
182;103;44;724;14
183;104;44;736;14
184;106;47;744;17
185;107;51;750;18
186;109;52;762;19
187;109;52;768;20
188;110;52;775;20
189;112;55;775;22
190;112;54;770;22
191;112;55;775;23
192;112;56;772;24
193;112;57;775;26
194;113;58;771;26
195;113;59;769;29
196;113;58;768;29
197;114;60;778;29
198;115;62;783;32
199;115;66;785;33
200;116;65;789;36
201;116;66;779;37
202;116;67;772;41
203;117;64;772;42
204;120;65;769;43
205;120;62;771;44
206;120;66;763;44
207;120;67;750;44
208;120;68;737;46
209;120;66;726;51
210;120;67;703;54
211;120;69;684;60
212;120;64;662;61
213;120;64;641;61
214;120;64;629;63
215;120;62;610;66
216;120;64;581;68
217;120;62;555;70
218;120;63;528;72
219;120;56;507;74
220;120;56;480;77
221;120;53;457;80
222;120;52;427;83
223;120;50;397;86
224;120;49;365;89
225;120;45;337;94
226;120;43;307;98
227;120;42;280;103
228;120;39;256;105
229;120;35;229;107
230;120;34;204;112
231;120;31;177;114
232;120;28;155;115
233;120;27;143;115
234;120;27;129;117
235;120;23;116;118
236;120;21;102;120
237;120;19;89;123
238;120;15;77;124
239;120;14;64;124
240;120;14;55;125
241;120;14;47;125
242;120;11;41;126
243;120;10;36;126
244;120;10;30;127
245;120;10;27;128
246;120;9;24;128
247;120;9;22;129
248;120;8;18;129
249;120;5;14;129
250;120;4;10;129
251;120;3;6;129
252;120;3;3;130
253;120;3;3;130
254;120;2;3;130
255;120;0;3;130
256;120;0;3;130
257;120;0;2;130
258;120;0;1;131
259;120;0;1;131
260;120;0;0;131
261;120;0;0;131
262;120;0;0;131
263;120;0;0;131
264;120;0;0;131
265;120;0;0;131
266;120;0;0;131
267;120;0;0;131
268;120;0;0;131
269;120;0;0;131
270;120;0;0;131
271;120;0;0;131
272;120;0;0;131
273;120;0;0;131
274;120;0;0;131
275;120;0;0;131
276;120;0;0;131
277;120;0;0;131
278;120;0;0;131
279;120;0;0;131
280;120;0;0;131
281;120;0;0;131
282;120;0;0;131
283;120;0;0;131
284;120;0;0;131
285;120;0;0;131
286;120;0;0;131
287;120;0;0;131
288;120;0;0;131
289;120;0;0;131
290;120;0;0;131
291;120;0;0;131
292;120;0;0;131
293;120;0;0;131
294;120;0;0;131
295;120;0;0;131
296;120;0;0;131
297;120;0;0;131
298;120;0;0;131
299;120;0;0;131
300;120;0;0;131
301;120;0;0;131
302;120;0;0;131
303;120;0;0;131
304;120;0;0;131
305;120;0;0;131
306;120;0;0;131
307;120;0;0;131
308;120;0;0;131
309;120;0;0;131
310;120;0;0;131
311;120;0;0;131
