Timestep;Food;Prey1;Prey2;Predators
0;45;19;12;3
1;45;20;13;3
2;45;21;13;3
3;45;21;14;3
4;46;21;14;3
5;48;21;14;3
6;49;21;15;3
7;49;22;15;3
8;50;22;15;3
9;50;22;16;3
10;50;25;17;3
11;50;26;17;3
12;50;26;17;3
13;50;29;18;3
14;50;31;19;3
15;50;34;19;3
16;50;34;20;3
17;50;35;21;3
18;50;35;22;3
19;50;37;22;3
20;50;38;24;3
21;50;41;25;3
22;50;41;25;3
23;50;44;25;3
24;50;45;25;3
25;50;44;25;3
26;50;45;25;3
27;50;46;25;3
28;50;46;25;3
29;50;46;25;3
30;50;46;29;3
31;50;50;29;3
32;50;50;30;3
33;50;52;30;4
34;50;53;30;4
35;51;57;31;4
36;51;59;31;4
37;51;61;30;4
38;51;63;30;3
39;51;67;30;3
40;51;71;32;3
41;52;76;34;3
42;52;77;38;3
43;52;81;39;3
44;53;82;39;3
45;53;86;39;3
46;53;88;42;3
47;54;88;44;3
48;54;93;46;3
49;55;98;46;3
50;55;101;49;3
51;55;106;50;3
52;55;109;52;3
53;55;111;53;3
54;56;114;55;4
55;56;119;55;4
56;56;124;57;4
57;58;130;59;4
58;58;139;61;4
59;58;143;62;4
60;58;147;64;4
61;59;152;68;5
62;60;154;67;5
63;60;157;68;5
64;60;160;72;6
65;60;167;74;6
66;60;176;75;7
67;62;181;75;7
68;62;190;77;7
69;62;194;79;6
70;62;200;81;5
71;62;208;83;7
72;62;214;81;7
73;62;218;82;7
74;63;233;81;7
75;64;248;83;7
76;65;263;83;8
77;65;275;84;9
78;65;287;85;9
79;65;302;86;9
80;65;315;85;10
81;65;339;86;10
82;65;347;86;11
83;65;358;85;11
84;65;372;85;11
85;65;392;85;12
86;65;413;83;13
87;65;429;85;15
88;65;441;84;15
89;65;460;84;16
90;65;476;83;17
91;65;484;81;18
92;65;499;80;19
93;65;511;77;20
94;65;528;76;21
95;66;536;76;25
96;66;535;76;26
97;66;541;72;26
98;66;541;70;30
99;66;532;70;32
100;66;525;69;33
101;66;516;66;34
102;66;514;64;35
103;66;508;63;38
104;66;505;60;41
105;67;499;57;41
106;67;494;52;42
107;68;484;52;44
108;68;469;50;48
109;68;450;46;57
110;68;432;39;60
111;68;409;35;62
112;69;383;32;65
113;69;360;30;68
114;69;338;25;75
115;70;314;22;78
116;71;284;20;80
117;72;261;18;84
118;72;245;16;85
119;72;229;14;86
120;72;210;13;87
121;73;190;12;88
122;74;175;11;93
123;74;161;9;92
124;75;143;9;97
125;76;131;7;98
126;76;115;7;99
127;76;103;7;99
128;76;94;5;100
129;76;88;3;101
130;78;79;3;102
131;80;73;3;103
132;81;65;3;102
133;81;60;3;102
134;81;55;3;102
135;81;52;3;101
136;81;48;3;102
137;81;43;3;101
138;81;38;2;101
139;81;34;2;101
140;82;31;1;101
141;82;26;1;102
142;82;23;1;101
143;82;19;1;103
144;83;16;1;104
145;83;12;1;103
146;83;10;0;103
147;86;8;0;103
148;86;6;0;103
149;87;5;0;102
150;87;4;0;102
151;87;3;0;101
152;87;3;0;101
153;87;3;0;101
154;87;3;0;101
155;87;3;0;101
156;87;2;0;101
157;87;1;0;101
158;87;1;0;100
159;87;1;0;99
160;87;1;0;98
161;88;0;0;98
162;89;0;0;98
163;89;0;0;98
164;89;0;0;98
165;89;0;0;98
