Timestep;Food;Prey1;Prey2;Predators
0;45;14;14;3
1;45;14;14;3
2;45;14;14;3
3;45;16;14;3
4;46;16;15;3
5;47;18;16;3
6;47;18;16;3
7;47;19;16;3
8;47;20;16;3
9;47;20;16;3
10;47;20;18;3
11;47;22;18;3
12;47;24;19;3
13;48;25;19;3
14;48;26;19;3
15;48;26;19;3
16;48;26;19;3
17;48;25;19;3
18;48;27;19;3
19;48;27;19;3
20;48;28;19;3
21;48;28;19;3
22;48;29;20;3
23;48;29;20;3
24;48;28;20;3
25;48;28;22;3
26;48;29;22;3
27;49;30;22;3
28;50;31;22;3
29;50;31;23;3
30;50;32;24;3
31;50;33;25;3
32;50;33;25;3
33;50;33;26;3
34;50;35;27;3
35;51;40;27;3
36;51;42;28;3
37;51;43;28;3
38;51;45;28;3
39;51;46;29;3
40;51;47;29;3
41;51;48;31;3
42;51;49;31;3
43;51;48;31;3
44;52;49;31;3
45;52;49;31;3
46;52;49;33;3
47;52;51;34;3
48;52;51;34;3
49;52;53;35;3
50;52;53;35;3
51;52;56;35;3
52;52;58;37;3
53;52;58;38;3
54;52;58;39;3
55;52;60;39;3
56;52;60;40;3
57;52;62;42;3
58;52;66;43;3
59;52;68;45;3
60;52;69;46;3
61;52;69;46;3
62;52;70;48;3
63;52;75;50;3
64;52;78;50;3
65;52;82;50;3
66;53;85;51;3
67;55;88;51;3
68;55;92;53;3
69;55;98;55;3
70;55;102;59;3
71;55;102;60;3
72;55;103;60;3
73;55;104;63;3
74;55;111;64;3
75;55;117;65;3
76;55;120;67;3
77;55;122;71;3
78;55;126;72;3
79;55;132;74;3
80;55;134;76;3
81;55;138;77;3
82;55;146;79;3
83;55;155;79;3
84;56;157;83;3
85;56;164;87;3
86;56;168;91;3
87;56;172;93;3
88;56;179;92;3
89;56;187;96;3
90;56;199;98;3
91;56;210;100;3
92;56;220;107;3
93;57;230;112;3
94;57;243;114;3
95;57;254;115;3
96;57;260;116;3
97;57;266;119;3
98;57;276;122;3
99;57;289;122;3
100;57;304;122;3
101;57;314;123;3
102;57;330;125;3
103;58;341;125;4
104;58;354;126;4
105;59;368;129;5
106;61;383;130;5
107;61;397;131;5
108;61;409;132;6
109;61;416;134;6
110;61;429;133;6
111;62;450;133;6
112;62;463;134;6
113;62;478;134;6
114;62;491;134;6
115;65;508;134;6
116;66;532;133;6
117;66;556;134;6
118;66;581;136;6
119;66;610;135;6
120;66;643;136;7
121;66;661;136;7
122;66;683;136;8
123;66;705;137;8
124;67;726;137;8
125;67;744;139;8
126;67;766;139;8
127;68;782;141;8
128;69;802;140;10
129;69;823;143;10
130;69;843;146;10
131;69;869;146;12
132;70;888;145;12
133;70;915;144;12
134;70;937;144;12
135;70;950;144;12
136;70;970;142;12
137;70;987;142;13
138;70;1004;143;14
139;71;1030;141;14
140;71;1044;142;16
141;72;1055;141;16
142;72;1072;141;16
143;73;1085;140;17
144;73;1101;138;19
145;73;1121;136;19
146;74;1127;135;20
147;74;1142;135;22
148;74;1151;135;23
149;74;1172;132;24
150;74;1178;131;25
151;74;1188;129;26
152;74;1197;128;28
153;74;1208;127;29
154;74;1220;125;31
155;74;1221;126;33
156;74;1214;123;35
157;74;1210;124;37
158;74;1217;122;37
159;74;1224;121;39
160;74;1230;119;40
161;74;1228;118;41
162;74;1232;116;44
163;75;1220;114;47
164;76;1209;111;50
165;76;1196;108;52
166;76;1179;107;55
167;77;1165;106;56
168;77;1152;104;63
169;77;1126;101;65
170;77;1108;94;66
171;78;1079;91;69
172;78;1056;90;72
173;78;1031;89;77
174;79;996;85;85
175;79;969;78;87
176;79;945;75;88
177;79;917;69;94
178;79;876;65;96
179;80;834;63;99
180;80;793;60;102
181;80;746;58;106
182;81;716;51;111
183;81;691;46;116
184;81;653;38;118
185;82;611;33;120
186;83;578;32;125
187;83;544;31;131
188;83;510;29;133
189;84;466;25;136
190;84;440;21;138
191;84;400;19;139
192;85;368;17;143
193;85;331;15;147
194;85;299;11;152
195;85;271;10;154
196;85;240;10;157
197;86;215;9;159
198;86;189;8;161
199;86;169;7;163
200;86;150;7;164
201;86;135;6;165
202;87;116;5;170
203;87;93;4;172
204;87;72;4;174
205;87;59;3;174
206;87;49;2;174
207;87;39;1;175
208;88;28;0;176
209;88;19;0;177
210;88;14;0;178
211;88;11;0;178
212;89;9;0;178
213;90;6;0;178
214;90;2;0;178
215;90;1;0;178
216;90;1;0;178
217;90;1;0;178
218;90;1;0;178
219;90;1;0;178
220;90;1;0;178
221;90;0;0;178
222;91;0;0;178
223;91;0;0;178
224;91;0;0;178
225;92;0;0;178
226;95;0;0;178
227;96;0;0;178
228;96;0;0;178
229;96;0;0;178
230;97;0;0;178
