Timestep;Food;Prey1;Prey2;Predators
0;45;12;12;3
1;45;12;14;3
2;45;13;14;3
3;45;13;14;3
4;45;13;14;3
5;45;14;14;3
6;46;14;14;3
7;46;14;14;3
8;47;14;14;3
9;47;14;14;3
10;47;13;15;3
11;47;13;16;3
12;47;14;18;3
13;48;14;18;3
14;48;14;18;3
15;48;13;18;3
16;48;12;18;3
17;48;11;19;3
18;48;11;19;3
19;48;11;19;3
20;49;11;19;3
21;49;12;19;3
22;49;12;19;3
23;49;12;18;3
24;49;11;19;3
25;49;12;19;3
26;49;12;19;3
27;49;13;19;3
28;49;13;19;3
29;49;13;20;3
30;50;14;19;3
31;50;14;17;3
32;50;14;17;3
33;50;14;18;3
34;50;15;19;3
35;51;15;19;3
36;51;15;18;3
37;51;15;18;3
38;51;15;19;3
39;51;14;19;3
40;52;14;20;3
41;53;14;19;3
42;53;16;19;3
43;53;16;19;3
44;55;16;19;3
45;58;16;19;3
46;58;16;19;3
47;58;16;21;3
48;58;17;21;3
49;58;19;21;3
50;58;18;22;3
51;59;18;22;3
52;59;18;23;3
53;59;20;25;3
54;59;20;24;3
55;60;19;24;3
56;60;19;24;3
57;60;19;24;3
58;61;20;24;3
59;61;20;25;3
60;61;20;25;3
61;61;22;25;3
62;62;23;25;3
63;62;23;25;3
64;62;23;26;3
65;62;24;25;3
66;63;25;25;3
67;64;26;26;3
68;64;25;27;3
69;64;25;27;3
70;64;27;28;3
71;64;27;28;3
72;65;26;29;4
73;65;26;30;4
74;65;27;30;4
75;65;27;30;5
76;66;27;29;5
77;66;27;30;5
78;67;27;34;5
79;67;26;34;6
80;67;25;32;6
81;68;25;34;6
82;68;25;34;6
83;68;27;37;6
84;68;26;37;6
85;68;26;38;6
86;68;25;38;6
87;68;25;39;6
88;68;24;40;6
89;68;24;40;6
90;68;24;40;6
91;69;23;37;6
92;69;23;38;6
93;69;23;38;6
94;69;23;37;6
95;69;22;37;6
96;69;22;39;6
97;69;22;39;6
98;69;21;41;7
99;69;22;40;7
100;69;22;39;7
101;69;22;39;7
102;69;23;39;7
103;70;20;37;7
104;71;22;38;7
105;71;23;39;7
106;71;23;40;7
107;71;23;40;7
108;71;23;40;7
109;71;26;39;7
110;71;27;38;7
111;72;26;37;7
112;72;28;39;7
113;72;27;39;7
114;73;28;40;7
115;74;27;39;7
116;74;27;40;7
117;74;26;41;7
118;74;25;42;7
119;75;26;41;7
120;75;25;40;7
121;75;25;39;8
122;75;25;40;8
123;75;25;41;8
124;75;24;42;8
125;75;23;42;8
126;75;24;44;8
127;75;24;41;8
128;75;23;41;8
129;76;23;41;8
130;76;23;40;8
131;76;23;39;8
132;76;24;39;8
133;76;23;39;9
134;76;22;41;9
135;76;22;40;9
136;76;22;40;9
137;76;21;41;9
138;76;21;41;9
139;76;20;38;10
140;76;20;36;10
141;76;19;34;10
142;76;19;34;10
143;78;19;33;10
144;78;20;35;10
145;79;19;35;10
146;79;19;34;11
147;80;19;33;11
148;80;18;31;11
149;82;17;34;11
150;82;17;32;11
151;82;17;32;11
152;83;17;33;11
153;83;17;32;11
154;83;17;32;11
155;83;16;33;11
156;83;16;32;11
157;83;15;32;11
158;84;14;33;11
159;86;14;33;11
160;86;15;31;11
161;86;14;31;11
162;86;14;30;11
163;86;14;29;11
164;86;14;28;11
165;87;14;28;11
166;88;14;27;11
