Timestep;Food;Prey;Prey2;Predators
0;45;16;14;3
1;45;19;17;3
2;45;19;20;3
3;45;21;20;3
4;45;20;22;3
5;45;21;22;3
6;46;21;26;3
7;46;21;28;3
8;46;21;30;3
9;46;23;32;3
10;46;24;32;3
11;46;24;35;3
12;47;23;36;3
13;47;23;37;3
14;47;23;37;3
15;48;24;38;3
16;48;25;38;3
17;48;27;40;3
18;48;27;41;3
19;49;28;41;3
20;49;28;41;3
21;49;29;42;3
22;49;30;43;3
23;49;31;46;3
24;49;32;47;3
25;49;32;48;3
26;49;32;49;3
27;49;33;50;3
28;49;35;53;3
29;49;36;54;3
30;50;38;55;3
31;51;38;57;3
32;51;44;60;3
33;51;44;64;3
34;51;48;65;3
35;51;54;67;3
36;51;56;69;3
37;52;56;70;3
38;52;57;69;3
39;52;57;73;3
40;53;59;76;3
41;54;60;77;3
42;54;62;82;3
43;54;68;82;3
44;54;73;83;3
45;55;79;87;3
46;55;84;89;3
47;55;92;93;4
48;55;100;95;4
49;55;108;102;4
50;55;114;104;4
51;55;121;106;4
52;55;129;107;4
53;55;136;109;4
54;55;145;109;4
55;55;156;113;5
56;55;175;112;5
57;55;182;115;5
58;55;200;117;5
59;56;210;121;5
60;56;221;123;5
61;56;236;124;5
62;57;249;124;6
63;57;257;125;7
64;57;270;123;7
65;57;289;124;7
66;57;303;125;7
67;57;320;124;7
68;57;332;123;7
69;57;348;122;7
70;57;364;121;9
71;57;378;120;9
72;57;395;119;9
73;58;406;118;10
74;58;421;117;11
75;58;434;115;11
76;58;452;115;12
77;60;465;114;12
78;61;477;114;12
79;61;492;111;12
80;61;507;111;13
81;61;521;110;13
82;61;533;110;14
83;61;549;109;14
84;61;565;109;14
85;61;576;108;15
86;61;588;107;15
87;62;601;107;15
88;62;609;106;16
89;62;613;106;16
90;62;625;105;17
91;62;630;102;19
92;63;637;101;19
93;63;641;101;20
94;63;643;101;21
95;63;646;99;22
96;63;647;98;24
97;63;647;97;24
98;63;646;96;24
99;63;647;95;27
100;63;640;95;30
101;63;637;92;31
102;63;627;89;32
103;63;614;87;32
104;63;607;86;35
105;63;599;85;38
106;63;584;84;38
107;63;574;83;38
108;63;565;79;40
109;63;559;75;42
110;64;541;73;46
111;64;524;69;48
112;64;510;62;49
113;64;487;60;52
114;65;467;59;55
115;65;443;57;57
116;67;417;54;57
117;68;394;51;59
118;68;368;48;60
119;68;352;42;62
120;69;327;40;64
121;70;307;38;67
122;71;289;33;68
123;72;266;32;72
124;73;247;31;73
125;74;233;27;73
126;75;219;24;75
127;76;205;23;75
128;76;194;20;76
129;76;182;18;77
130;79;173;15;82
131;79;156;14;84
132;79;145;14;84
133;79;136;12;85
134;79;131;9;85
135;79;120;6;85
136;79;113;5;85
137;80;105;5;85
138;80;97;5;86
139;80;87;5;86
140;81;77;4;90
141;82;65;4;93
142;83;57;4;93
143;85;49;4;94
144;85;45;3;95
145;85;42;2;95
146;85;40;1;95
147;85;35;0;95
148;86;32;0;95
149;87;29;0;96
150;87;26;0;97
151;88;23;0;98
152;89;18;0;98
153;89;16;0;98
154;89;15;0;98
155;89;13;0;98
156;89;12;0;98
157;89;11;0;98
