Timestep;Food;Prey1;Prey2;Predators
0;45;16;14;3
1;45;18;15;3
2;45;19;16;3
3;45;20;17;3
4;45;19;17;3
5;45;19;18;3
6;45;20;18;3
7;45;20;20;3
8;45;20;23;3
9;45;20;23;3
10;45;20;24;3
11;45;22;23;3
12;45;22;23;3
13;45;22;23;3
14;45;22;23;3
15;45;22;23;3
16;45;22;23;3
17;45;21;25;3
18;45;22;24;3
19;45;23;24;3
20;45;23;24;3
21;46;24;24;3
22;46;24;24;3
23;46;24;24;3
24;46;26;24;3
25;47;26;23;3
26;47;26;23;3
27;47;27;23;3
28;47;28;24;3
29;47;30;26;3
30;48;29;26;3
31;48;29;26;3
32;48;30;25;3
33;48;30;25;3
34;48;30;25;3
35;48;31;25;3
36;48;32;25;3
37;48;32;24;3
38;48;32;25;3
39;48;33;25;3
40;49;35;25;3
41;49;34;25;3
42;49;34;25;3
43;49;34;25;3
44;49;34;25;3
45;49;35;26;3
46;49;34;27;3
47;49;34;27;3
48;49;34;29;3
49;49;34;29;3
50;49;33;29;3
51;49;31;30;3
52;49;33;31;3
53;50;33;29;3
54;50;34;29;3
55;51;34;28;3
56;51;35;27;3
57;51;37;28;3
58;51;38;27;3
59;51;39;25;3
60;51;39;24;3
61;51;38;24;3
62;51;37;23;3
63;51;38;23;3
64;51;38;23;3
65;51;38;23;3
66;52;38;23;3
67;52;37;23;3
68;52;38;23;3
69;52;38;22;3
70;53;38;22;3
71;53;38;22;3
72;53;38;23;3
73;53;38;24;3
74;53;39;23;3
75;53;39;23;3
76;53;39;24;3
77;53;39;23;3
78;53;40;24;3
79;53;41;26;3
80;53;42;29;3
81;53;44;30;3
82;53;45;30;3
83;53;42;30;4
84;53;44;28;4
85;54;47;30;4
86;54;51;30;4
87;54;51;29;4
88;55;52;31;4
89;55;53;33;4
90;56;53;36;4
91;56;54;37;4
92;56;56;36;4
93;56;56;35;4
94;56;56;36;4
95;57;54;37;5
96;57;55;38;5
97;57;57;39;5
98;57;59;37;5
99;57;60;40;5
100;57;60;40;5
101;58;64;42;5
102;58;68;42;5
103;59;69;42;5
104;59;70;45;5
105;60;70;45;5
106;60;69;47;5
107;60;69;47;5
108;60;70;49;5
109;60;71;48;5
110;60;71;49;5
111;60;74;46;5
112;60;75;46;5
113;60;76;47;5
114;61;80;47;5
115;61;83;47;5
116;61;82;48;5
117;62;83;49;5
118;62;84;48;5
119;62;86;48;5
120;62;86;49;5
121;62;88;49;5
122;63;87;51;6
123;63;87;50;6
124;63;87;49;7
125;63;86;50;7
126;63;89;47;7
127;63;93;46;7
128;65;93;47;8
129;68;90;47;8
130;68;91;48;8
131;68;89;48;8
132;69;91;49;8
133;69;91;50;8
134;69;89;52;8
135;69;86;54;8
136;69;85;53;8
137;69;85;55;8
138;69;85;53;8
139;69;87;56;8
140;69;91;55;8
141;69;90;54;8
142;69;88;55;8
143;69;86;54;8
144;69;86;54;8
145;70;84;55;8
146;70;83;56;8
147;72;84;59;8
148;72;85;59;8
149;72;85;60;8
150;73;86;59;9
151;73;89;55;9
152;73;91;54;9
153;73;89;54;9
154;74;89;53;9
155;74;88;55;9
156;75;90;58;9
157;75;90;60;9
158;75;91;61;9
159;75;92;60;9
160;75;93;56;10
161;75;91;58;10
162;76;94;55;11
163;77;92;59;11
164;77;94;60;12
165;77;90;63;13
166;77;89;63;13
167;78;88;64;13
168;78;90;64;13
169;79;92;65;13
170;79;94;70;14
171;79;95;71;14
172;79;96;67;15
173;79;95;65;15
174;80;94;66;15
175;80;94;66;15
176;80;92;65;15
177;81;90;64;15
178;82;89;64;16
179;82;88;61;16
180;82;90;60;16
181;82;85;62;16
182;82;83;65;16
183;82;84;63;16
184;83;83;64;16
185;83;82;61;16
186;85;80;63;16
187;85;79;60;17
188;85;78;60;18
189;85;78;60;18
190;86;76;60;18
191;87;76;62;18
192;87;73;62;18
193;87;69;62;18
194;88;66;61;18
195;88;65;59;19
196;88;68;58;19
197;88;67;54;20
