Timestep;Food;Prey1;Prey2;Predators
0;45;14;13;3
1;45;14;13;3
2;45;14;14;3
3;45;14;14;3
4;45;14;16;3
5;45;14;17;3
6;45;16;17;3
7;45;16;19;3
8;47;17;20;3
9;47;17;19;3
10;48;18;20;3
11;48;18;22;3
12;48;18;23;3
13;48;18;24;3
14;48;18;24;3
15;51;20;26;3
16;51;20;26;3
17;51;21;26;3
18;51;22;26;3
19;51;23;27;3
20;51;24;29;3
21;52;24;28;3
22;52;25;28;3
23;52;26;27;3
24;53;26;27;3
25;53;26;27;3
26;53;29;27;3
27;53;29;28;3
28;54;29;28;3
29;54;29;29;3
30;54;29;30;3
31;54;30;30;3
32;54;31;29;3
33;54;31;29;3
34;54;31;28;3
35;54;32;28;3
36;54;33;28;3
37;54;34;29;3
38;55;35;28;3
39;55;38;28;3
40;55;39;28;3
41;56;41;28;3
42;57;43;28;3
43;59;44;28;3
44;59;45;28;3
45;60;46;28;3
46;60;47;29;3
47;60;48;29;3
48;60;49;31;3
49;60;49;31;3
50;60;49;32;3
51;60;49;32;3
52;60;49;32;3
53;60;50;34;3
54;60;52;34;3
55;60;54;34;3
56;60;56;35;3
57;60;57;35;3
58;60;63;35;3
59;60;68;35;3
60;60;72;35;3
61;60;75;38;3
62;60;79;38;3
63;60;80;40;3
64;60;81;40;3
65;61;84;43;3
66;61;88;43;3
67;62;91;44;3
68;62;93;44;3
69;62;96;45;3
70;62;100;45;3
71;62;102;46;3
72;63;104;48;3
73;63;109;50;3
74;63;112;50;3
75;64;116;52;3
76;64;118;54;3
77;64;122;54;3
78;64;126;56;3
79;64;127;58;3
80;64;130;62;3
81;66;139;65;3
82;66;153;68;3
83;66;163;72;3
84;67;172;72;3
85;68;180;76;3
86;68;189;79;3
87;68;200;79;3
88;68;214;81;3
89;69;226;85;3
90;70;240;88;3
91;70;250;88;3
92;70;264;91;3
93;70;270;93;3
94;70;275;93;3
95;70;282;98;3
96;72;288;101;3
97;72;304;102;3
98;73;317;104;3
99;74;339;106;3
100;76;352;110;3
101;78;362;111;3
102;78;379;111;3
103;80;393;114;3
104;81;414;117;3
105;82;432;121;3
106;82;456;122;3
107;83;483;122;4
108;84;508;124;4
109;84;533;123;5
110;84;557;124;5
111;85;589;124;5
112;86;621;126;5
113;88;660;124;5
114;90;694;125;6
115;90;726;130;6
116;91;754;128;6
117;92;783;129;6
118;92;821;129;6
119;92;860;130;6
120;92;893;130;6
121;92;923;129;6
122;93;958;129;7
123;93;991;128;7
124;94;1024;128;7
125;94;1052;129;8
126;95;1091;130;10
127;95;1122;130;10
128;96;1143;129;11
129;98;1176;128;11
130;98;1207;126;11
131;98;1230;125;11
132;98;1266;124;12
133;98;1293;123;12
134;99;1324;124;14
135;99;1349;122;14
136;99;1378;121;15
137;99;1410;121;16
138;99;1439;119;17
139;99;1461;119;18
140;99;1491;119;19
141;99;1516;118;20
142;99;1552;118;21
143;99;1581;116;23
144;99;1598;116;24
145;99;1621;115;25
146;99;1648;113;26
147;99;1667;112;29
