Timestep;Food;Prey;Prey2;Predators
0;45;16;10;3
1;45;16;10;3
2;45;16;10;3
3;45;16;11;3
4;45;16;11;3
5;45;15;11;3
6;45;15;12;3
7;45;15;13;3
8;45;15;15;3
9;46;15;15;3
10;47;14;15;3
11;47;14;15;3
12;47;14;15;3
13;48;16;17;3
14;48;14;20;3
15;48;14;21;3
16;48;15;21;3
17;48;15;22;3
18;49;16;22;3
19;49;16;22;3
20;49;16;27;3
21;49;17;29;3
22;50;17;29;3
23;50;18;29;3
24;50;19;30;3
25;50;19;32;3
26;50;19;32;3
27;50;20;34;3
28;50;22;36;3
29;51;22;36;3
30;51;22;37;3
31;51;23;39;3
32;51;23;40;3
33;52;23;40;3
34;52;23;39;3
35;53;23;40;3
36;53;23;40;3
37;53;23;41;3
38;53;25;41;3
39;53;25;42;3
40;53;26;44;3
41;53;30;44;3
42;54;31;45;3
43;54;32;47;3
44;54;34;46;3
45;54;33;48;3
46;54;35;51;3
47;55;38;53;3
48;55;40;54;3
49;55;44;55;3
50;55;47;60;3
51;55;50;61;3
52;55;53;63;3
53;55;56;69;3
54;55;62;72;3
55;55;65;75;3
56;55;69;81;3
57;57;80;84;3
58;57;89;88;3
59;57;92;89;3
60;57;99;97;3
61;57;106;99;3
62;57;116;104;3
63;57;132;105;4
64;58;145;105;4
65;59;160;111;4
66;59;175;115;5
67;59;187;115;5
68;59;200;119;5
69;59;209;121;5
70;60;218;121;5
71;60;233;122;5
72;60;249;124;5
73;60;268;127;5
74;61;286;128;5
75;61;302;128;6
76;62;328;130;6
77;62;348;129;6
78;63;366;129;7
79;65;390;130;7
80;66;408;135;7
81;66;422;135;7
82;66;446;134;7
83;66;460;134;8
84;67;482;133;9
85;68;505;133;9
86;69;526;132;9
87;70;548;132;9
88;70;571;132;10
89;70;587;132;10
90;70;612;130;10
91;70;637;127;10
92;70;650;126;12
93;70;668;126;12
94;70;686;125;12
95;70;700;125;15
96;70;716;123;16
97;71;730;121;18
98;71;748;119;18
99;72;769;117;18
100;72;781;115;18
101;72;797;115;20
102;72;813;115;21
103;73;823;115;21
104;74;838;113;24
105;74;854;111;26
106;74;862;108;28
107;74;867;106;29
108;74;878;102;29
109;74;883;101;30
110;74;898;99;30
111;74;899;98;30
112;75;900;96;33
113;76;901;95;37
114;76;893;92;40
115;77;890;89;43
116;77;887;84;46
117;77;884;80;47
118;78;878;79;50
119;78;869;73;51
120;78;851;69;53
121;78;837;65;58
122;78;813;59;62
123;78;787;57;66
124;78;760;55;72
